Year,LocationAbbr,LocationDesc,PriorityArea1,PriorityArea2,PriorityArea3,PriorityArea4,Topic,Data_Value_Unit,Data_Value,LowConfidenceLimit,HighConfidenceLimit,Break_Out_Category,Break_Out,TopicId,BreakOutCategoryId,BreakOutId
2008,AK,Alaska,None,None,None,None,Major Cardiovascular Disease,Percent (%),28.8,27.6,30,Gender,Male,T1,BOC02,GEN01
2004,MS,Mississippi,None,None,None,None,Major Cardiovascular Disease,Percent (%),29.7,29.4,30.1,Gender,Male,T1,BOC02,GEN01
2004,NJ,New Jersey,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.7,27.3,28.1,Race,Non-Hispanic Black,T1,BOC04,RAC02
2006,IN,Indiana,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.7,26.1,27.3,Race,Non-Hispanic Black,T1,BOC04,RAC02
2007,IL,Illinois,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.5,26.3,26.7,Gender,Male,T1,BOC02,GEN01
2008,MA,Massachusetts,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.9,24.7,25.2,Gender,Male,T1,BOC02,GEN01
2007,CA,California,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.1,21.9,22.3,Age,65+,T1,BOC03,AGE06
2007,UT,Utah,None,None,None,None,Major Cardiovascular Disease,Percent (%),18.3,15.8,20.8,Race,Other,T1,BOC04,RAC07
2007,MN,Minnesota,None,None,None,None,Major Cardiovascular Disease,Percent (%),16.8,11.3,22.2,Race,Hispanic,T1,BOC04,RAC04
2006,CT,Connecticut,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.9,24.6,25.1,Age,75+,T1,BOC03,AGE08
2006,US,United States,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.6,25.5,25.7,Race,Non-Hispanic Black,T1,BOC04,RAC02
2007,AZ,Arizona,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.2,24.9,25.4,Overall,Overall,T1,BOC01,OVR01
2004,ND,North Dakota,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.5,22.8,24.2,Gender,Female,T1,BOC02,GEN02
2007,LA,Louisiana,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.8,26.5,27.2,Age,65+,T1,BOC03,AGE06
2008,DE,Delaware,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.7,24.2,25.3,Age,75+,T1,BOC03,AGE08
2005,NJ,New Jersey,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.7,27.5,28,Age,65+,T1,BOC03,AGE06
2006,IA,Iowa,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.4,22.1,22.6,Gender,Female,T1,BOC02,GEN02
2007,IA,Iowa,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.9,25.6,26.2,Race,Non-Hispanic White,T1,BOC04,RAC01
2008,IA,Iowa,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.4,18.2,30.7,Race,Hispanic,T1,BOC04,RAC04
2004,AL,Alabama,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.7,26.5,26.9,Race,Non-Hispanic White,T1,BOC04,RAC01
2007,OK,Oklahoma,None,None,None,None,Major Cardiovascular Disease,Percent (%),24,23.8,24.2,Overall,Overall,T1,BOC01,OVR01
2005,VT,Vermont,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.6,25.9,27.2,Overall,Overall,T1,BOC01,OVR01
2006,NH,New Hampshire,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.6,17,26.1,Race,Other,T1,BOC04,RAC07
2004,WI,Wisconsin,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.8,24.1,27.4,Race,Other,T1,BOC04,RAC07
2004,IL,Illinois,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.2,26,26.4,Age,65+,T1,BOC03,AGE06
2008,MO,Missouri,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.9,20.7,21.1,Gender,Female,T1,BOC02,GEN02
2004,NE,Nebraska,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.7,27.3,28.2,Age,75+,T1,BOC03,AGE08
2007,MD,Maryland,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.2,19.5,24.9,Race,Hispanic,T1,BOC04,RAC04
2008,MT,Montana,None,None,None,None,Major Cardiovascular Disease,Percent (%),20.4,18.4,22.3,Race,Other,T1,BOC04,RAC07
2006,MI,Michigan,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.5,25.4,27.6,Race,Other,T1,BOC04,RAC07
2004,TN,Tennessee,None,None,None,None,Major Cardiovascular Disease,Percent (%),29.1,28.8,29.4,Gender,Male,T1,BOC02,GEN01
2006,OR,Oregon,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.2,24.9,25.5,Overall,Overall,T1,BOC01,OVR01
2005,VT,Vermont,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.5,25.9,27.2,Race,Non-Hispanic White,T1,BOC04,RAC01
2004,WV,West Virginia,None,None,None,None,Major Cardiovascular Disease,Percent (%),29.8,26.2,33.4,Race,Other,T1,BOC04,RAC07
2005,MD,Maryland,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.6,21.6,27.6,Race,Hispanic,T1,BOC04,RAC04
2005,CA,California,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.9,23.5,24.4,Race,Hispanic,T1,BOC04,RAC04
2008,HI,Hawaii,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.1,24.5,25.6,Overall,Overall,T1,BOC01,OVR01
2007,TX,Texas,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.1,22,22.3,Gender,Female,T1,BOC02,GEN02
2007,IN,Indiana,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.1,24.8,25.4,Age,65+,T1,BOC03,AGE06
2005,KS,Kansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.1,21.8,22.4,Gender,Female,T1,BOC02,GEN02
2007,NY,New York,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.6,23.5,23.7,Overall,Overall,T1,BOC01,OVR01
2004,NH,New Hampshire,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.5,22.5,32.5,Race,Other,T1,BOC04,RAC07
2005,MN,Minnesota,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.5,21.2,21.8,Gender,Female,T1,BOC02,GEN02
2006,SD,South Dakota,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.1,22.7,23.5,Overall,Overall,T1,BOC01,OVR01
2004,MI,Michigan,None,None,None,None,Major Cardiovascular Disease,Percent (%),28,27.8,28.1,Age,75+,T1,BOC03,AGE08
2005,IN,Indiana,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.9,25.6,26.2,Age,65+,T1,BOC03,AGE06
2007,AR,Arkansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.7,25.9,27.5,Race,Non-Hispanic Black,T1,BOC04,RAC02
2006,HI,Hawaii,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.4,20.2,34.6,Race,Non-Hispanic Black,T1,BOC04,RAC02
2005,TX,Texas,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.3,27,27.7,Race,Non-Hispanic Black,T1,BOC04,RAC02
2006,MT,Montana,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.4,20.7,22.1,Age,65+,T1,BOC03,AGE06
2007,FL,Florida,None,None,None,None,Major Cardiovascular Disease,Percent (%),28.6,28.4,28.7,Gender,Male,T1,BOC02,GEN01
2007,GA,Georgia,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.3,26.1,26.6,Age,65+,T1,BOC03,AGE06
2004,AK,Alaska,None,None,None,None,Major Cardiovascular Disease,Percent (%),30.1,28.7,31.4,Gender,Male,T1,BOC02,GEN01
2007,NC,North Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.6,24.4,24.8,Age,75+,T1,BOC03,AGE08
2006,IA,Iowa,None,None,None,None,Major Cardiovascular Disease,Percent (%),21.1,14.9,27.2,Race,Hispanic,T1,BOC04,RAC04
2007,TN,Tennessee,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.9,26.4,27.5,Race,Non-Hispanic Black,T1,BOC04,RAC02
2007,AZ,Arizona,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.5,25.2,25.8,Age,75+,T1,BOC03,AGE08
2007,NH,New Hampshire,None,None,None,None,Major Cardiovascular Disease,Percent (%),28.2,24.6,31.7,Race,Non-Hispanic Black,T1,BOC04,RAC02
2007,MI,Michigan,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.7,25.3,26,Race,Non-Hispanic Black,T1,BOC04,RAC02
2004,TN,Tennessee,None,None,None,None,Major Cardiovascular Disease,Percent (%),38.2,31.3,45.1,Race,Hispanic,T1,BOC04,RAC04
2004,TN,Tennessee,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.2,26.7,27.7,Race,Non-Hispanic Black,T1,BOC04,RAC02
2004,CT,Connecticut,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.1,23.8,24.4,Gender,Female,T1,BOC02,GEN02
2007,NE,Nebraska,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.4,19.3,25.6,Race,Other,T1,BOC04,RAC07
2006,MI,Michigan,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.8,26.6,27,Age,65+,T1,BOC03,AGE06
2007,RI,Rhode Island,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.1,25.4,26.9,Gender,Male,T1,BOC02,GEN01
2006,SD,South Dakota,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.3,22.9,23.8,Race,Non-Hispanic White,T1,BOC04,RAC01
2005,DE,Delaware,None,None,None,None,Major Cardiovascular Disease,Percent (%),22.9,22.3,23.5,Gender,Female,T1,BOC02,GEN02
2008,LA,Louisiana,None,None,None,None,Major Cardiovascular Disease,Percent (%),28.7,28.3,29,Gender,Male,T1,BOC02,GEN01
2005,FL,Florida,None,None,None,None,Major Cardiovascular Disease,Percent (%),31.3,31.2,31.5,Gender,Male,T1,BOC02,GEN01
2004,IA,Iowa,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.6,18.3,30.9,Race,Hispanic,T1,BOC04,RAC04
2007,OK,Oklahoma,None,None,None,None,Major Cardiovascular Disease,Percent (%),18.4,15.1,21.6,Race,Hispanic,T1,BOC04,RAC04
2007,US,United States,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.7,24.7,24.8,Age,75+,T1,BOC03,AGE08
2005,AR,Arkansas,None,None,None,None,Major Cardiovascular Disease,Percent (%),26.1,25.9,26.4,Race,Non-Hispanic White,T1,BOC04,RAC01
2006,MO,Missouri,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.8,24.6,25.1,Age,65+,T1,BOC03,AGE06
2008,IN,Indiana,None,None,None,None,Major Cardiovascular Disease,Percent (%),27.7,27.5,28,Gender,Male,T1,BOC02,GEN01
2005,OK,Oklahoma,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.3,24.1,24.5,Race,Non-Hispanic White,T1,BOC04,RAC01
2005,NE,Nebraska,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.9,25.5,26.3,Age,75+,T1,BOC03,AGE08
2006,OR,Oregon,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.9,21.3,28.5,Race,Non-Hispanic Black,T1,BOC04,RAC02
2008,NH,New Hampshire,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.8,19,28.6,Race,Other,T1,BOC04,RAC07
2008,AL,Alabama,None,None,None,None,Major Cardiovascular Disease,Percent (%),23.5,23.3,23.7,Overall,Overall,T1,BOC01,OVR01
2005,AL,Alabama,None,None,None,None,Major Cardiovascular Disease,Percent (%),26,25.8,26.3,Age,75+,T1,BOC03,AGE08
2006,NC,North Carolina,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.2,25.1,25.4,Overall,Overall,T1,BOC01,OVR01
2005,PA,Pennsylvania,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.8,25.6,25.9,Age,75+,T1,BOC03,AGE08
2006,TX,Texas,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.3,25.2,25.5,Age,75+,T1,BOC03,AGE08
2006,OK,Oklahoma,None,None,None,None,Major Cardiovascular Disease,Percent (%),24.2,24,24.4,Overall,Overall,T1,BOC01,OVR01
2005,MO,Missouri,None,None,None,None,Major Cardiovascular Disease,Percent (%),25.2,25,25.4,Race,Non-Hispanic White,T1,BOC04,RAC01
