Year,LocationAbbr,LocationDesc,PriorityArea1,Topic,Data_Value_Unit,Data_Value,LowConfidenceLimit,HighConfidenceLimit,Break_Out_Category,Break_Out,TopicId,BreakOutCategoryId,BreakOutId,GeoLocation
2008,KY,Kentucky,None,Major Cardiovascular Disease,Percent (%),23.3,22.4,24.3,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(37.645970271000465, -84.77497104799966)"
2007,MO,Missouri,None,Major Cardiovascular Disease,Percent (%),24.6,24.4,24.9,Age,75+,T1,BOC03,AGE08,"(38.635790776000476, -92.56630005299968)"
2008,MI,Michigan,None,Major Cardiovascular Disease,Percent (%),23.0,22.8,23.2,Gender,Female,T1,BOC02,GEN02,"(44.6613195430005, -84.71439026999968)"
2007,SC,South Carolina,None,Major Cardiovascular Disease,Percent (%),25.6,25.2,25.9,Age,65+,T1,BOC03,AGE06,"(33.998821303000454, -81.04537120699968)"
2008,IL,Illinois,None,Major Cardiovascular Disease,Percent (%),23.5,23.2,23.8,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(40.48501028300046, -88.99771017799969)"
2005,AK,Alaska,None,Major Cardiovascular Disease,Percent (%),20.7,19.7,21.8,Gender,Female,T1,BOC02,GEN02,"(64.84507995700051, -147.72205903599973)"
2007,KY,Kentucky,None,Major Cardiovascular Disease,Percent (%),23.3,23.0,23.5,Gender,Female,T1,BOC02,GEN02,"(37.645970271000465, -84.77497104799966)"
2006,LA,Louisiana,None,Major Cardiovascular Disease,Percent (%),33.3,28.6,38.1,Race,Hispanic,T1,BOC04,RAC04,"(31.31266064400046, -92.44568007099969)"
2004,PA,Pennsylvania,None,Major Cardiovascular Disease,Percent (%),26.8,26.7,27.0,Race,Non-Hispanic White,T1,BOC04,RAC01,"(40.79373015200048, -77.86070029399963)"
2007,OK,Oklahoma,None,Major Cardiovascular Disease,Percent (%),28.2,27.8,28.5,Gender,Male,T1,BOC02,GEN01,"(35.47203135600046, -97.52107021399968)"
2006,NC,North Carolina,None,Major Cardiovascular Disease,Percent (%),25.3,25.1,25.5,Age,75+,T1,BOC03,AGE08,"(35.466220975000454, -79.15925046299964)"
2005,TN,Tennessee,None,Major Cardiovascular Disease,Percent (%),25.2,25.1,25.4,Overall,Overall,T1,BOC01,OVR01,"(35.68094058000048, -85.77449091399967)"
2005,WI,Wisconsin,None,Major Cardiovascular Disease,Percent (%),25.9,25.7,26.1,Overall,Overall,T1,BOC01,OVR01,"(44.39319117400049, -89.81637074199966)"
2004,OR,Oregon,None,Major Cardiovascular Disease,Percent (%),26.4,26.1,26.7,Overall,Overall,T1,BOC01,OVR01,"(44.56744942400047, -120.15503132599969)"
2005,KY,Kentucky,None,Major Cardiovascular Disease,Percent (%),24.7,15.3,34.1,Race,Hispanic,T1,BOC04,RAC04,"(37.645970271000465, -84.77497104799966)"
2006,GA,Georgia,None,Major Cardiovascular Disease,Percent (%),26.4,26.2,26.6,Race,Non-Hispanic White,T1,BOC04,RAC01,"(32.83968109300048, -83.62758034599966)"
2004,NE,Nebraska,None,Major Cardiovascular Disease,Percent (%),26.9,24.6,29.3,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(41.6410409880005, -99.36572062299967)"
2008,AR,Arkansas,None,Major Cardiovascular Disease,Percent (%),25.2,25.0,25.5,Overall,Overall,T1,BOC01,OVR01,"(34.74865012400045, -92.27449074299966)"
2005,WA,Washington,None,Major Cardiovascular Disease,Percent (%),22.0,21.8,22.3,Gender,Female,T1,BOC02,GEN02,"(47.52227862900048, -120.47001078999972)"
2007,WV,West Virginia,None,Major Cardiovascular Disease,Percent (%),26.6,26.2,26.9,Age,75+,T1,BOC03,AGE08,"(38.66551020200046, -80.71264013499967)"
2006,TN,Tennessee,None,Major Cardiovascular Disease,Percent (%),28.4,28.1,28.7,Gender,Male,T1,BOC02,GEN01,"(35.68094058000048, -85.77449091399967)"
2005,CO,Colorado,None,Major Cardiovascular Disease,Percent (%),20.9,20.6,21.2,Race,Non-Hispanic White,T1,BOC04,RAC01,"(38.843840757000464, -106.13361092099967)"
2007,WI,Wisconsin,None,Major Cardiovascular Disease,Percent (%),25.3,25.1,25.5,Race,Non-Hispanic White,T1,BOC04,RAC01,"(44.39319117400049, -89.81637074199966)"
2006,KS,Kansas,None,Major Cardiovascular Disease,Percent (%),24.3,23.9,24.7,Age,65+,T1,BOC03,AGE06,"(38.34774030000045, -98.20078122699965)"
2006,AZ,Arizona,None,Major Cardiovascular Disease,Percent (%),18.8,17.9,19.7,Race,Other,T1,BOC04,RAC07,"(34.865970280000454, -111.76381127699972)"
2008,ID,Idaho,None,Major Cardiovascular Disease,Percent (%),20.1,19.4,20.7,Gender,Female,T1,BOC02,GEN02,"(43.682630005000476, -114.3637300419997)"
2005,AL,Alabama,None,Major Cardiovascular Disease,Percent (%),26.2,26.0,26.4,Overall,Overall,T1,BOC01,OVR01,"(32.84057112200048, -86.63186076199969)"
2004,MT,Montana,None,Major Cardiovascular Disease,Percent (%),23.8,23.3,24.2,Overall,Overall,T1,BOC01,OVR01,"(47.06652897200047, -109.42442064499971)"
2006,AL,Alabama,None,Major Cardiovascular Disease,Percent (%),25.7,25.5,25.9,Race,Non-Hispanic White,T1,BOC04,RAC01,"(32.84057112200048, -86.63186076199969)"
2004,AL,Alabama,None,Major Cardiovascular Disease,Percent (%),27.0,26.8,27.2,Overall,Overall,T1,BOC01,OVR01,"(32.84057112200048, -86.63186076199969)"
2006,NE,Nebraska,None,Major Cardiovascular Disease,Percent (%),24.1,23.8,24.4,Overall,Overall,T1,BOC01,OVR01,"(41.6410409880005, -99.36572062299967)"
2005,ND,North Dakota,None,Major Cardiovascular Disease,Percent (%),25.6,24.6,26.5,Age,65+,T1,BOC03,AGE06,"(47.47531977900047, -100.11842104899966)"
2005,FL,Florida,None,Major Cardiovascular Disease,Percent (%),26.2,25.8,26.5,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(28.932040377000476, -81.92896053899966)"
2005,MI,Michigan,None,Major Cardiovascular Disease,Percent (%),27.3,27.2,27.4,Overall,Overall,T1,BOC01,OVR01,"(44.6613195430005, -84.71439026999968)"
2007,VA,Virginia,None,Major Cardiovascular Disease,Percent (%),24.0,23.9,24.2,Overall,Overall,T1,BOC01,OVR01,"(37.54268067400045, -78.45789046299967)"
2006,RI,Rhode Island,None,Major Cardiovascular Disease,Percent (%),27.3,23.3,31.3,Race,Other,T1,BOC04,RAC07,"(41.70828019300046, -71.52247031399963)"
2008,FL,Florida,None,Major Cardiovascular Disease,Percent (%),23.5,23.4,23.7,Age,65+,T1,BOC03,AGE06,"(28.932040377000476, -81.92896053899966)"
2008,DC,"Washington, DC",None,Major Cardiovascular Disease,Percent (%),24.6,23.8,25.3,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(38.89037138500049, -77.03196112699965)"
2004,FL,Florida,None,Major Cardiovascular Disease,Percent (%),25.0,24.5,25.6,Race,Hispanic,T1,BOC04,RAC04,"(28.932040377000476, -81.92896053899966)"
2007,KS,Kansas,None,Major Cardiovascular Disease,Percent (%),28.4,28.0,28.8,Gender,Male,T1,BOC02,GEN01,"(38.34774030000045, -98.20078122699965)"
2007,KS,Kansas,None,Major Cardiovascular Disease,Percent (%),25.5,24.1,26.8,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(38.34774030000045, -98.20078122699965)"
2006,ME,Maine,None,Major Cardiovascular Disease,Percent (%),25.6,25.0,26.2,Age,65+,T1,BOC03,AGE06,"(45.254228894000505, -68.98503133599962)"
2007,NM,New Mexico,None,Major Cardiovascular Disease,Percent (%),22.1,21.5,22.7,Age,65+,T1,BOC03,AGE06,"(34.52088095200048, -106.24058098499967)"
2005,AK,Alaska,None,Major Cardiovascular Disease,Percent (%),23.8,22.7,25.0,Age,75+,T1,BOC03,AGE08,"(64.84507995700051, -147.72205903599973)"
2004,RI,Rhode Island,None,Major Cardiovascular Disease,Percent (%),28.7,27.9,29.5,Gender,Male,T1,BOC02,GEN01,"(41.70828019300046, -71.52247031399963)"
2007,WY,Wyoming,None,Major Cardiovascular Disease,Percent (%),27.1,26.0,28.1,Gender,Male,T1,BOC02,GEN01,"(43.23554134300048, -108.10983035299967)"
2006,NH,New Hampshire,None,Major Cardiovascular Disease,Percent (%),25.1,24.4,25.8,Age,65+,T1,BOC03,AGE06,"(43.65595011300047, -71.50036091999965)"
2008,MI,Michigan,None,Major Cardiovascular Disease,Percent (%),23.3,21.0,25.7,Race,Hispanic,T1,BOC04,RAC04,"(44.6613195430005, -84.71439026999968)"
2007,PA,Pennsylvania,None,Major Cardiovascular Disease,Percent (%),24.7,24.6,24.9,Age,75+,T1,BOC03,AGE08,"(40.79373015200048, -77.86070029399963)"
2004,VT,Vermont,None,Major Cardiovascular Disease,Percent (%),25.5,24.5,26.5,Age,65+,T1,BOC03,AGE06,"(43.62538123900049, -72.51764079099962)"
2006,CA,California,None,Major Cardiovascular Disease,Percent (%),23.4,23.3,23.5,Race,Non-Hispanic White,T1,BOC04,RAC01,"(37.63864012300047, -120.99999953799971)"
2004,LA,Louisiana,None,Major Cardiovascular Disease,Percent (%),27.3,25.2,29.5,Race,Other,T1,BOC04,RAC07,"(31.31266064400046, -92.44568007099969)"
2006,NJ,New Jersey,None,Major Cardiovascular Disease,Percent (%),26.9,26.7,27.0,Race,Non-Hispanic White,T1,BOC04,RAC01,"(40.13057004800049, -74.27369128799967)"
2005,CT,Connecticut,None,Major Cardiovascular Disease,Percent (%),27.9,27.5,28.2,Gender,Male,T1,BOC02,GEN01,"(41.56266102000046, -72.64984095199964)"
2006,MS,Mississippi,None,Major Cardiovascular Disease,Percent (%),24.2,23.8,24.6,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(32.745510099000455, -89.53803082499968)"
2005,ID,Idaho,None,Major Cardiovascular Disease,Percent (%),13.5,4.2,22.7,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(43.682630005000476, -114.3637300419997)"
2005,NY,New York,None,Major Cardiovascular Disease,Percent (%),23.6,23.3,23.9,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(42.82700103200045, -75.54397042699964)"
2008,CO,Colorado,None,Major Cardiovascular Disease,Percent (%),20.4,18.6,22.2,Race,Hispanic,T1,BOC04,RAC04,"(38.843840757000464, -106.13361092099967)"
2006,DE,Delaware,None,Major Cardiovascular Disease,Percent (%),25.7,24.5,26.9,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(39.008830667000495, -75.57774116799965)"
2008,NE,Nebraska,None,Major Cardiovascular Disease,Percent (%),20.9,20.4,21.3,Gender,Female,T1,BOC02,GEN02,"(41.6410409880005, -99.36572062299967)"
2007,MA,Massachusetts,None,Major Cardiovascular Disease,Percent (%),21.7,21.4,22.0,Age,65+,T1,BOC03,AGE06,"(42.27687047000046, -72.08269067499964)"
2007,AL,Alabama,None,Major Cardiovascular Disease,Percent (%),22.4,22.1,22.6,Gender,Female,T1,BOC02,GEN02,"(32.84057112200048, -86.63186076199969)"
2004,ID,Idaho,None,Major Cardiovascular Disease,Percent (%),22.9,17.1,28.7,Race,Hispanic,T1,BOC04,RAC04,"(43.682630005000476, -114.3637300419997)"
2008,MO,Missouri,None,Major Cardiovascular Disease,Percent (%),22.0,17.5,26.4,Race,Hispanic,T1,BOC04,RAC04,"(38.635790776000476, -92.56630005299968)"
2005,MN,Minnesota,None,Major Cardiovascular Disease,Percent (%),24.0,22.4,25.5,Race,Other,T1,BOC04,RAC07,"(46.35564873600049, -94.79420050299967)"
2005,NH,New Hampshire,None,Major Cardiovascular Disease,Percent (%),30.2,29.5,30.9,Gender,Male,T1,BOC02,GEN01,"(43.65595011300047, -71.50036091999965)"
2006,RI,Rhode Island,None,Major Cardiovascular Disease,Percent (%),22.4,21.5,23.3,Age,65+,T1,BOC03,AGE06,"(41.70828019300046, -71.52247031399963)"
2008,AK,Alaska,None,Major Cardiovascular Disease,Percent (%),28.8,27.6,30.0,Gender,Male,T1,BOC02,GEN01,"(64.84507995700051, -147.72205903599973)"
2004,MS,Mississippi,None,Major Cardiovascular Disease,Percent (%),29.7,29.4,30.1,Gender,Male,T1,BOC02,GEN01,"(32.745510099000455, -89.53803082499968)"
2004,NJ,New Jersey,None,Major Cardiovascular Disease,Percent (%),27.7,27.3,28.1,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(40.13057004800049, -74.27369128799967)"
2006,IN,Indiana,None,Major Cardiovascular Disease,Percent (%),26.7,26.1,27.3,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(39.766910452000445, -86.14996019399968)"
2007,IL,Illinois,None,Major Cardiovascular Disease,Percent (%),26.5,26.3,26.7,Gender,Male,T1,BOC02,GEN01,"(40.48501028300046, -88.99771017799969)"
2008,MA,Massachusetts,None,Major Cardiovascular Disease,Percent (%),24.9,24.7,25.2,Gender,Male,T1,BOC02,GEN01,"(42.27687047000046, -72.08269067499964)"
2007,CA,California,None,Major Cardiovascular Disease,Percent (%),22.1,21.9,22.3,Age,65+,T1,BOC03,AGE06,"(37.63864012300047, -120.99999953799971)"
2007,UT,Utah,None,Major Cardiovascular Disease,Percent (%),18.3,15.8,20.8,Race,Other,T1,BOC04,RAC07,"(39.360700171000474, -111.58713063499971)"
2007,MN,Minnesota,None,Major Cardiovascular Disease,Percent (%),16.8,11.3,22.2,Race,Hispanic,T1,BOC04,RAC04,"(46.35564873600049, -94.79420050299967)"
2006,CT,Connecticut,None,Major Cardiovascular Disease,Percent (%),24.9,24.6,25.1,Age,75+,T1,BOC03,AGE08,"(41.56266102000046, -72.64984095199964)"
2006,US,United States,None,Major Cardiovascular Disease,Percent (%),25.6,25.5,25.7,Race,Non-Hispanic Black,T1,BOC04,RAC02,
2007,AZ,Arizona,None,Major Cardiovascular Disease,Percent (%),25.2,24.9,25.4,Overall,Overall,T1,BOC01,OVR01,"(34.865970280000454, -111.76381127699972)"
2004,ND,North Dakota,None,Major Cardiovascular Disease,Percent (%),23.5,22.8,24.2,Gender,Female,T1,BOC02,GEN02,"(47.47531977900047, -100.11842104899966)"
2007,LA,Louisiana,None,Major Cardiovascular Disease,Percent (%),26.8,26.5,27.2,Age,65+,T1,BOC03,AGE06,"(31.31266064400046, -92.44568007099969)"
2008,DE,Delaware,None,Major Cardiovascular Disease,Percent (%),24.7,24.2,25.3,Age,75+,T1,BOC03,AGE08,"(39.008830667000495, -75.57774116799965)"
2005,NJ,New Jersey,None,Major Cardiovascular Disease,Percent (%),27.7,27.5,28.0,Age,65+,T1,BOC03,AGE06,"(40.13057004800049, -74.27369128799967)"
2006,IA,Iowa,None,Major Cardiovascular Disease,Percent (%),22.4,22.1,22.6,Gender,Female,T1,BOC02,GEN02,"(42.46940091300047, -93.81649055599968)"
2007,IA,Iowa,None,Major Cardiovascular Disease,Percent (%),25.9,25.6,26.2,Race,Non-Hispanic White,T1,BOC04,RAC01,"(42.46940091300047, -93.81649055599968)"
2008,IA,Iowa,None,Major Cardiovascular Disease,Percent (%),24.4,18.2,30.7,Race,Hispanic,T1,BOC04,RAC04,"(42.46940091300047, -93.81649055599968)"
2004,AL,Alabama,None,Major Cardiovascular Disease,Percent (%),26.7,26.5,26.9,Race,Non-Hispanic White,T1,BOC04,RAC01,"(32.84057112200048, -86.63186076199969)"
2007,OK,Oklahoma,None,Major Cardiovascular Disease,Percent (%),24.0,23.8,24.2,Overall,Overall,T1,BOC01,OVR01,"(35.47203135600046, -97.52107021399968)"
2005,VT,Vermont,None,Major Cardiovascular Disease,Percent (%),26.6,25.9,27.2,Overall,Overall,T1,BOC01,OVR01,"(43.62538123900049, -72.51764079099962)"
2006,NH,New Hampshire,None,Major Cardiovascular Disease,Percent (%),21.6,17.0,26.1,Race,Other,T1,BOC04,RAC07,"(43.65595011300047, -71.50036091999965)"
2004,WI,Wisconsin,None,Major Cardiovascular Disease,Percent (%),25.8,24.1,27.4,Race,Other,T1,BOC04,RAC07,"(44.39319117400049, -89.81637074199966)"
2004,IL,Illinois,None,Major Cardiovascular Disease,Percent (%),26.2,26.0,26.4,Age,65+,T1,BOC03,AGE06,"(40.48501028300046, -88.99771017799969)"
2008,MO,Missouri,None,Major Cardiovascular Disease,Percent (%),20.9,20.7,21.1,Gender,Female,T1,BOC02,GEN02,"(38.635790776000476, -92.56630005299968)"
2004,NE,Nebraska,None,Major Cardiovascular Disease,Percent (%),27.7,27.3,28.2,Age,75+,T1,BOC03,AGE08,"(41.6410409880005, -99.36572062299967)"
2007,MD,Maryland,None,Major Cardiovascular Disease,Percent (%),22.2,19.5,24.9,Race,Hispanic,T1,BOC04,RAC04,"(39.29058096400047, -76.60926011099963)"
2008,MT,Montana,None,Major Cardiovascular Disease,Percent (%),20.4,18.4,22.3,Race,Other,T1,BOC04,RAC07,"(47.06652897200047, -109.42442064499971)"
2006,MI,Michigan,None,Major Cardiovascular Disease,Percent (%),26.5,25.4,27.6,Race,Other,T1,BOC04,RAC07,"(44.6613195430005, -84.71439026999968)"
2004,TN,Tennessee,None,Major Cardiovascular Disease,Percent (%),29.1,28.8,29.4,Gender,Male,T1,BOC02,GEN01,"(35.68094058000048, -85.77449091399967)"
2006,OR,Oregon,None,Major Cardiovascular Disease,Percent (%),25.2,24.9,25.5,Overall,Overall,T1,BOC01,OVR01,"(44.56744942400047, -120.15503132599969)"
2005,VT,Vermont,None,Major Cardiovascular Disease,Percent (%),26.5,25.9,27.2,Race,Non-Hispanic White,T1,BOC04,RAC01,"(43.62538123900049, -72.51764079099962)"
2004,WV,West Virginia,None,Major Cardiovascular Disease,Percent (%),29.8,26.2,33.4,Race,Other,T1,BOC04,RAC07,"(38.66551020200046, -80.71264013499967)"
2005,MD,Maryland,None,Major Cardiovascular Disease,Percent (%),24.6,21.6,27.6,Race,Hispanic,T1,BOC04,RAC04,"(39.29058096400047, -76.60926011099963)"
2005,CA,California,None,Major Cardiovascular Disease,Percent (%),23.9,23.5,24.4,Race,Hispanic,T1,BOC04,RAC04,"(37.63864012300047, -120.99999953799971)"
2008,HI,Hawaii,None,Major Cardiovascular Disease,Percent (%),25.1,24.5,25.6,Overall,Overall,T1,BOC01,OVR01,"(21.304850435000446, -157.85774940299973)"
2007,TX,Texas,None,Major Cardiovascular Disease,Percent (%),22.1,22.0,22.3,Gender,Female,T1,BOC02,GEN02,"(31.827240407000488, -99.42677020599967)"
2007,IN,Indiana,None,Major Cardiovascular Disease,Percent (%),25.1,24.8,25.4,Age,65+,T1,BOC03,AGE06,"(39.766910452000445, -86.14996019399968)"
2005,KS,Kansas,None,Major Cardiovascular Disease,Percent (%),22.1,21.8,22.4,Gender,Female,T1,BOC02,GEN02,"(38.34774030000045, -98.20078122699965)"
2007,NY,New York,None,Major Cardiovascular Disease,Percent (%),23.6,23.5,23.7,Overall,Overall,T1,BOC01,OVR01,"(42.82700103200045, -75.54397042699964)"
2004,NH,New Hampshire,None,Major Cardiovascular Disease,Percent (%),27.5,22.5,32.5,Race,Other,T1,BOC04,RAC07,"(43.65595011300047, -71.50036091999965)"
2005,MN,Minnesota,None,Major Cardiovascular Disease,Percent (%),21.5,21.2,21.8,Gender,Female,T1,BOC02,GEN02,"(46.35564873600049, -94.79420050299967)"
2006,SD,South Dakota,None,Major Cardiovascular Disease,Percent (%),23.1,22.7,23.5,Overall,Overall,T1,BOC01,OVR01,"(44.353130053000484, -100.3735306369997)"
2004,MI,Michigan,None,Major Cardiovascular Disease,Percent (%),28.0,27.8,28.1,Age,75+,T1,BOC03,AGE08,"(44.6613195430005, -84.71439026999968)"
2005,IN,Indiana,None,Major Cardiovascular Disease,Percent (%),25.9,25.6,26.2,Age,65+,T1,BOC03,AGE06,"(39.766910452000445, -86.14996019399968)"
2007,AR,Arkansas,None,Major Cardiovascular Disease,Percent (%),26.7,25.9,27.5,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(34.74865012400045, -92.27449074299966)"
2006,HI,Hawaii,None,Major Cardiovascular Disease,Percent (%),27.4,20.2,34.6,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(21.304850435000446, -157.85774940299973)"
2005,TX,Texas,None,Major Cardiovascular Disease,Percent (%),27.3,27.0,27.7,Race,Non-Hispanic Black,T1,BOC04,RAC02,"(31.827240407000488, -99.42677020599967)"
2006,MT,Montana,None,Major Cardiovascular Disease,Percent (%),21.4,20.7,22.1,Age,65+,T1,BOC03,AGE06,"(47.06652897200047, -109.42442064499971)"
2007,FL,Florida,None,Major Cardiovascular Disease,Percent (%),28.6,28.4,28.7,Gender,Male,T1,BOC02,GEN01,"(28.932040377000476, -81.92896053899966)"
2007,GA,Georgia,None,Major Cardiovascular Disease,Percent (%),26.3,26.1,26.6,Age,65+,T1,BOC03,AGE06,"(32.83968109300048, -83.62758034599966)"
2004,AK,Alaska,None,Major Cardiovascular Disease,Percent (%),30.1,28.7,31.4,Gender,Male,T1,BOC02,GEN01,"(64.84507995700051, -147.72205903599973)"
2007,NC,North Carolina,None,Major Cardiovascular Disease,Percent (%),24.6,24.4,24.8,Age,75+,T1,BOC03,AGE08,"(35.466220975000454, -79.15925046299964)"
